2019-02-22 10:18:30,894  INFO AWT-EventQueue-0:3812 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 218, 99
2019-02-22 10:18:30,902  INFO AWT-EventQueue-0:3820 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 210, 92
2019-02-22 10:18:30,910  INFO AWT-EventQueue-0:3828 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 207, 90
2019-02-22 10:18:30,918  INFO AWT-EventQueue-0:3836 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 202, 87
2019-02-22 10:18:30,926  INFO AWT-EventQueue-0:3844 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 199, 85
2019-02-22 10:18:31,412  INFO AWT-EventQueue-0:4330 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 157, 85
2019-02-22 10:18:31,420  INFO AWT-EventQueue-0:4338 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 153, 91
2019-02-22 10:18:31,429  INFO AWT-EventQueue-0:4347 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 150, 98
2019-02-22 10:18:31,436  INFO AWT-EventQueue-0:4354 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 146, 109
2019-02-22 10:18:31,445  INFO AWT-EventQueue-0:4363 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 144, 118
2019-02-22 10:18:31,445  INFO AWT-EventQueue-0:4363 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 0
2019-02-22 10:18:31,445  INFO AWT-EventQueue-0:4363 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=0]
2019-02-22 10:18:31,453  INFO AWT-EventQueue-0:4371 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 142, 123
2019-02-22 10:18:31,453  INFO AWT-EventQueue-0:4371 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 0
2019-02-22 10:18:31,453  INFO AWT-EventQueue-0:4371 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=0]
2019-02-22 10:18:31,461  INFO AWT-EventQueue-0:4379 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 140, 132
2019-02-22 10:18:31,462  INFO AWT-EventQueue-0:4380 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 0
2019-02-22 10:18:31,462  INFO AWT-EventQueue-0:4380 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=0]
2019-02-22 10:18:31,476  INFO AWT-EventQueue-0:4394 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 138, 141
2019-02-22 10:18:31,476  INFO AWT-EventQueue-0:4394 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 0
2019-02-22 10:18:31,477  INFO AWT-EventQueue-0:4395 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=0]
2019-02-22 10:18:31,478  INFO AWT-EventQueue-0:4396 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 135, 148
2019-02-22 10:18:31,478  INFO AWT-EventQueue-0:4396 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 0
2019-02-22 10:18:31,478  INFO AWT-EventQueue-0:4396 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=0]
2019-02-22 10:18:31,487  INFO AWT-EventQueue-0:4405 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 135, 151
2019-02-22 10:18:31,488  INFO AWT-EventQueue-0:4406 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,488  INFO AWT-EventQueue-0:4406 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,495  INFO AWT-EventQueue-0:4413 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 134, 156
2019-02-22 10:18:31,496  INFO AWT-EventQueue-0:4414 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,497  INFO AWT-EventQueue-0:4415 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,503  INFO AWT-EventQueue-0:4421 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 133, 160
2019-02-22 10:18:31,504  INFO AWT-EventQueue-0:4422 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,504  INFO AWT-EventQueue-0:4422 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,514  INFO AWT-EventQueue-0:4432 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 133, 162
2019-02-22 10:18:31,514  INFO AWT-EventQueue-0:4432 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,515  INFO AWT-EventQueue-0:4433 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,520  INFO AWT-EventQueue-0:4438 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 132, 165
2019-02-22 10:18:31,521  INFO AWT-EventQueue-0:4439 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,521  INFO AWT-EventQueue-0:4439 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
